asn,hege
29222,1.84689477534401e-05
3356,0.213683111072411
749,0.0736903314225185
7018,0.0422785934131838
714,0.0058875788874774
7922,0.0239580117578674
20940,0.00418644216292024
701,0.0266962080927889
12576,0.00174403535704523
4766,0.0163138527652434
209,0.0320543588289825
9121,0.00313726437600497
5607,0.00265763153183223
2516,0.0071256364821922
8452,0.00675525975549505
2609,0.000993444743347067
1239,0.00663610687394553
3786,0.00784053459792498
16637,0.00240954994496543
5650,0.00418099026098834
19108,0.000960359123897503
6327,0.00214015275271819
7843,0.013311054188978
1257,0.00241188995475174
3292,0.00199492693151819
3209,0.00422192094632268
6830,0.00871889828501115
12874,0.00134007201026119
13335,0.0016305096197536
37100,0.00149469216725308
10455,0.00112885190055158
1267,0.00233327536758993
7303,0.00293033335786689
17557,0.00148968281126988
37492,0.000641766344259949
11830,0.000496493039205308
4837,0.0250047948314129
44034,0.000329778148585614
30722,0.00183450280759603
12389,0.00494409275057087
3549,0.00220463732356814
5713,0.00113182589919941
3491,0.00851533949408358
2828,0.00227774508447063
12430,0.00220439945380547
5378,0.000775184333170601
6848,0.000747442727622417
2119,0.0033821532586501
20676,0.000426487355900483
9158,0.000758660481802165
210278,0.000171929103737813
6697,0.000420041038098619
6619,0.000425408997975698
702,0.00219042256275407
3741,0.00108953366095799
10474,0.000483015922708751
12400,0.000728681156501622
9198,0.000776441061679449
16509,0.020029730322853
8708,0.00092896611814827
3257,0.0244070407536812
8447,0.00129144009794612
8551,0.000619102834956107
16086,0.000695908814048296
8359,0.00118029828462496
6849,0.000416110902528281
5432,0.00134002833818169
7792,0.000351650315978364
109,0.000373265277694212
31133,0.00168063437904469
4230,0.00577748744217551
21575,0.00021275204094316
786,0.00252889096000606
2914,0.0571159266461565
15802,0.000400792952157978
14340,0.000292157246367437
16342,5.72806544226852e-05
2686,0.000888507418061126
15169,0.006038357257786
8781,0.000245293955836171
12297,7.76311038099897e-05
26496,0.000331438073231447
12876,0.000155507025603012
29695,0.000434069623816203
5410,0.00232518810471052
1226,0.000384239167602229
36149,0.000134921073818272
21928,0.00450018143767324
8468,0.000121027634507217
8422,0.000215591341282364
9050,0.000710518211382235
9145,0.00037545924514238
8400,0.000418195398606826
40676,0.000291222486821165
3,0.000667595614050581
22284,0.000382365954694032
2116,0.000657318511020489
8968,0.0003883377510701
46606,0.000235464856376789
6614,0.000391975613111514
2497,0.00737408884115152
27747,0.000207705773960058
14522,0.000210564553519789
2611,0.00029083114657543
81,0.00115893810444839
22463,0.000193210776422708
6079,0.000535684513506676
852,0.00242811572413036
15704,0.000257443846578988
58453,0.0198265869957578
3216,0.00122095340470258
50010,0.000104283831730049
21497,0.000163428992823939
45758,0.000315229502252351
11404,0.000449221041402098
7459,0.000143905506881637
35805,0.000171069297237918
15924,0.000668211009249769
36994,0.000929517835096186
30844,0.000774460911781082
37028,2.30411810564808e-05
22351,7.11902390914358e-05
12578,0.000210963261877651
1680,0.000581326315823763
855,0.000466157946196139
45102,0.000943334527276082
577,0.00306551344525488
31655,0.000168047399568683
20485,0.00102190579478449
3302,0.000225459351777038
39642,0.000205837874513789
1299,0.0897403049720266
5400,0.00399412076965166
5511,0.013275497752106
19855,5.34215673843863e-05
3737,0.000271407258160898
6453,0.0138493042872699
3598,0.000173939970448197
10396,9.22194284091012e-05
8560,0.000298081846310766
6181,0.000475941594270099
20021,9.9890966908232e-05
8717,0.000333619350782179
29357,0.000104816463507262
8426,0.000326188510319715
8607,7.57683119940235e-05
20712,4.54262600345581e-05
20804,0.000192360525610403
12552,0.000803367259819802
13194,0.000315433735139579
15763,5.25751221775509e-05
5578,0.000216038817777023
13101,5.26841941150719e-05
8767,0.000245358382037603
207790,3.85416119490225e-05
25441,0.00014754734487441
13045,6.05695310788788e-05
29396,4.91146485548355e-05
12605,6.26804809166818e-05
47377,0.000294260142453053
8926,0.00019588450745338
12709,9.97857786884947e-05
8473,0.000255866913726757
37693,0.000855471672718717
15958,3.65660035227669e-05
2519,0.00313861354024503
4809,0.000576393924290673
55410,0.000476295426248354
21859,0.000294257002091874
18666,4.34842902766394e-05
35,4.49931426448371e-05
29,4.31493258439001e-05
158,0.0004087134531956
55,8.59860100771976e-05
1742,0.000159358788394396
160,3.76199647067632e-05
122,8.86457074827517e-05
243,0.0002355227634537
6522,2.14491125477382e-05
111,5.42943157036201e-05
4190,4.28980492394987e-05
31822,0.000215913170028358
11872,4.29818062340396e-05
2552,2.4214186637538e-05
14852,1.80140142805214e-05
156,4.32331460161477e-05
11030,2.23708921530196e-05
7960,2.30411810564808e-05
31898,0.0010968050134398
103,4.90142538858321e-05
18515,2.14492449107603e-05
6591,6.1666579118436e-05
6481,2.16168171366257e-05
10755,2.14492449107603e-05
11363,0.000107329348334581
12005,2.21195338142216e-05
2013,4.31498481603187e-05
21899,1.67592002641615e-05
82,0.000106157005085677
600,0.000851231322216424
3479,0.000549120555880597
19342,2.14492449107603e-05
2818,2.41303409907082e-05
10754,2.22033199271543e-05
1736,2.14491526404048e-05
2572,0.000394250551491274
4637,0.00794211403427531
26854,6.0841629872622e-05
22586,2.14492449107603e-05
33194,2.14492449107603e-05
22834,2.14492449107603e-05
23005,0.000129438911095445
1999,6.4599093071079e-05
14981,1.87680892969153e-05
12079,5.40420428415641e-05
1712,2.11141004590297e-05
27495,2.36276838470094e-05
18663,2.14492449107603e-05
10753,0.000126473758207029
19564,2.14492449107603e-05
8147,9.02376436284722e-05
11482,2.1533031023693e-05
14017,4.28984898215207e-05
33667,8.25221898437769e-05
6932,2.14492449107603e-05
2614,4.51929917507604e-05
20105,2.14492449107603e-05
36092,6.92911153953078e-05
12897,4.96667526915326e-05
16802,2.14492449107603e-05
19752,6.36035153440629e-05
13636,4.28984898215207e-05
395139,7.50723571876612e-05
11773,2.15329383929064e-05
21680,2.1448985273861e-05
13684,2.20357477012889e-05
62989,2.1700380377012e-05
25160,6.97210235646917e-05
33608,2.14492449107603e-05
49362,5.45440992706388e-05
11711,2.25384643788849e-05
7726,0.000214241090768805
30051,2.11141004590297e-05
13759,2.14492449107603e-05
20191,2.14490246197494e-05
35612,0.000118950299099449
6527,7.54912877523245e-05
398564,2.16168171366257e-05
20214,4.656010148792e-05
7150,2.1616724145408e-05
18844,2.14492449107603e-05
32835,2.14492449107603e-05
25180,0.000151204885018592
4195,2.27896820819718e-05
12229,2.22033199271543e-05
54113,0.00010799883171549
10967,5.34555400510355e-05
398573,2.16165554713131e-05
21984,2.14492449107603e-05
11540,2.1533031023693e-05
14259,0.000370422092293359
20478,4.273040035027e-05
14365,2.73982845162762e-05
10448,2.14491526404048e-05
37282,0.000103534894566523
36291,6.46828791840116e-05
7054,2.17006032495583e-05
4046,2.22871060400869e-05
398537,2.1700469335407e-05
8103,0.00026400572814608
393649,2.11141004590297e-05
398471,2.1616724145408e-05
7872,2.22871060400869e-05
398663,2.23111413033124e-05
26298,2.21195338142216e-05
22252,6.36774458288197e-05
138384,0.000166314718715639
54216,2.14492449107603e-05
46196,2.14492449107603e-05
398655,2.1616724145408e-05
2594,2.70905472969328e-05
2048,7.12520964501745e-05
29702,2.05001209045962e-05
25215,2.61412672349892e-05
11577,4.28984898215207e-05
16860,2.14492449107603e-05
16524,3.72858849866634e-05
11052,2.20357477012889e-05
29899,2.14491526404048e-05
1294,2.76585056688077e-05
393529,2.1449064403801e-05
32071,2.14491526404048e-05
28024,0.000143298665864827
10545,2.14492449107603e-05
3132,2.16928203627831e-05
10954,5.03118450803563e-05
2384,2.15328981436278e-05
13695,4.29822759344533e-05
15141,1.99410948779725e-05
26539,2.14492449107603e-05
19820,1.96897365391745e-05
22958,3.50640181859918e-05
36091,2.14492449107603e-05
22693,2.1533031023693e-05
4583,6.44315208452137e-05
3512,4.36526648956268e-05
8569,5.02740371828502e-05
22845,2.14492449107603e-05
18756,6.61072431038668e-05
2711,0.00034922960876461
14454,2.34238141257053e-05
19554,2.32087532823461e-05
3926,2.27898227176829e-05
131790,2.1616724145408e-05
21798,2.14492449107603e-05
11870,2.14032344570708e-05
14579,2.14492449107603e-05
27026,4.33545808400331e-05
10968,2.11977557600694e-05
16988,4.28982250954764e-05
7800,2.1533031023693e-05
11596,4.29822759344533e-05
5696,2.49681075751015e-05
30356,2.1533031023693e-05
7417,2.14492449107603e-05
20012,2.11141004590297e-05
32996,2.16168171366257e-05
19380,2.13654587978277e-05
395789,2.21194386604174e-05
7270,8.04334584986886e-05
13433,2.31249671694135e-05
7867,2.09462746815049e-05
6966,4.28979705477221e-05
13598,2.1281672684895e-05
18697,2.15326273120043e-05
22178,2.14492449107603e-05
22616,6.22291037125079e-05
132203,0.000589370182221231
20311,2.14492449107603e-05
11685,2.05275976685011e-05
3147,2.23708921530196e-05
21693,4.39034722685495e-05
10583,2.05061617268421e-05
47090,2.14492449107603e-05
33527,2.11978865719624e-05
4270,2.60285093587739e-05
19229,3.55352442873743e-05
20771,8.65338037139898e-05
28220,0.000128035328486061
262210,2.33072416978039e-05
23106,0.000169857717131424
22047,0.000450841137354609
6568,8.13953658163076e-05
20207,5.14051435689558e-05
19611,2.27897246804301e-05
6,4.0747936580629e-05
5377,3.5022682951151e-05
21599,3.05625427407793e-05
1982,3.30955146083997e-05
7859,5.66394123424765e-05
29119,0.000355575076702239
12390,8.36185407067922e-05
399610,1.25679169398986e-05
29314,0.000490443290494411
16347,4.53911580946844e-05
2906,5.09902320747134e-05
49524,2.27898227176829e-05
43118,2.4465544976336e-05
19871,7.85075878179001e-05
13110,6.92618116142014e-05
198471,4.39039231767126e-05
3064,3.81102956640739e-05
29748,2.66120505072345e-05
14992,1.59193614572049e-06
32244,0.000103761187436138
10439,3.50225952058509e-05
5396,2.2027403543459e-05
31034,0.000111108866419716
39386,0.00212727014425159
25394,6.05544622820895e-05
16082,2.63428344507749e-05
31242,4.80889992669031e-05
31252,6.52172493144218e-05
24961,7.10934225751735e-05
43205,8.22138041331914e-05
25003,1.54746699968902e-05
208722,6.56673537015227e-05
47541,1.88761823193465e-05
397412,1.94383782003766e-05
14061,0.000930928410955916
22282,1.34895641821579e-05
50999,1.07246224553802e-05
10879,4.96003830306967e-05
22697,1.25679169398986e-05
32934,5.99066834240161e-05
21277,3.67414663481824e-05
18759,3.48548078900746e-05
7345,2.00246385955187e-05
22498,2.14491526404048e-05
22700,2.14492449107603e-05
12119,3.70141676113736e-05
14550,1.07246224553802e-05
19661,2.13654587978277e-05
33920,1.11249629126332e-05
1204,2.21192660636692e-05
32323,3.34262483203228e-05
32480,4.28982250954764e-05
19653,2.72697091476698e-05
201838,5.37903525611247e-05
12025,8.26631725239646e-05
14782,2.79845617195076e-05
6334,1.64220781348009e-05
31027,0.000471054978570581
3495,2.14492449107603e-05
1448,2.14492449107603e-05
25829,2.09489662588208e-05
20773,0.00023049452095685
11911,2.15827959600718e-05
23089,0.000157700134025817
398813,2.16166837395174e-05
36351,0.00142992507011393
64208,2.25384643788849e-05
4454,8.55452533041144e-05
17166,1.8097800393454e-05
22995,0.000109636420004212
28126,6.31854977683448e-05
34087,5.71863992425368e-05
28649,5.27896495439252e-05
52361,7.07143830485965e-05
10299,3.31024103045384e-05
28186,6.27456818129738e-05
12252,0.000214308760015514
3262,3.88505924664532e-05
2559,1.40814461579783e-05
396016,1.13111252459088e-05
3561,0.00255871141925856
17054,0.000111803233308957
10297,2.94927117522955e-05
6364,2.03739253580577e-05
4136,6.54896215791072e-05
8893,1.68689342595068e-05
7795,0.000226664910289773
16247,5.41139627907419e-05
13445,9.33365999807859e-05
11260,0.000310009802813304
8309,1.9618018086076e-05
20811,3.29501891916673e-05
40237,1.6586398101898e-05
23118,1.41452990049744e-05
22822,0.000120525595516749
36315,4.32329048252359e-05
21056,2.67215864682381e-05
51484,5.59818740530186e-06
42652,5.44794381089256e-05
12703,5.94046113867228e-05
9500,0.000491888182794125
23856,1.50590022430791e-05
47447,1.43971413980603e-05
10962,8.54618351913107e-06
16406,6.116386244084e-06
14818,5.4893410431062e-06
17018,9.43300624849519e-06
22925,5.23530736114991e-05
23141,5.19473900182477e-06
14615,9.90957019851331e-05
203,9.35826886888357e-05
55293,3.5775350707209e-05
26827,7.60269154380213e-05
8025,2.85555701825164e-05
21886,1.55842170054743e-05
11042,2.63088394608545e-05
30497,5.36227813693455e-06
46964,5.36231122769008e-06
12083,0.000369114597260604
34569,1.76208659117805e-05
5631,8.80437772594152e-06
8648,1.42387601353261e-05
12301,0.00014999069277327
51978,1.12273391329761e-05
47887,1.10164620837736e-05
15997,1.12910741910308e-05
12440,1.37409225209558e-05
25459,1.40765271664056e-05
5606,6.63548722442326e-05
8262,6.33002475725142e-05
50083,6.2122137142328e-06
8681,2.43181515970127e-05
6758,6.2305610457504e-05
39356,2.73141852542065e-05
12993,1.24409378204446e-05
8495,1.19415632987188e-05
6663,0.000221617190643689
5391,0.000549242468850773
31250,5.94881401821869e-06
12883,9.10437954547245e-05
42925,1.50815003278784e-05
41313,8.63600118407514e-05
20473,0.000494680742060573
9125,4.30829165747582e-05
34525,9.24670213960952e-06
9246,1.46671877293672e-05
18403,0.000565471621402795
16643,2.17842956504111e-05
12611,2.92572285196518e-05
198949,0.000127558333478338
13614,1.8097800393454e-05
2158,1.10596986574275e-05
208687,5.86502790528603e-06
18664,5.36227813693455e-06
22562,1.86843031839826e-05
60377,5.69745567942071e-06
3486,2.19518261230758e-05
11452,1.81814743080437e-05
10857,1.07246224553802e-05
3745,5.77038428780551e-06
30083,1.98573030470028e-05
13778,2.2621933519155e-06
50624,1.74275114899928e-05
26746,2.01085806003795e-05
61153,8.04346684153513e-06
11286,5.44609734062274e-06
27947,0.000228019774597456
10806,1.53328586666763e-05
63284,5.11095288889211e-06
11377,6.56879071774483e-05
40102,2.1448985273861e-05
13474,1.03056918907169e-05
33491,0.000107424870271583
33154,6.60295244584373e-05
7183,5.52984932871376e-06
3525,1.20651258081027e-05
13348,2.87800437650505e-06
28665,9.3840042801771e-06
52925,5.13922037297859e-05
27984,2.51356787668807e-05
22689,5.74144554072117e-05
8151,0.00467196685263976
262186,2.98283675801088e-05
16074,3.27599736018737e-05
51167,0.000112253809387768
5392,4.02174748481791e-06
42730,1.16462195977198e-05
41095,7.1940743979051e-05
397575,1.06408363424475e-05
20255,1.15513661578876e-05
28598,7.18662974538936e-05
11921,9.48847681571129e-06
18964,6.78667514754526e-06
4544,2.17006032495583e-05
19510,5.69742052049296e-06
262865,1.14650382201637e-05
6646,5.19473900182477e-06
14135,3.16711506885446e-05
6372,1.62654783601407e-05
16724,1.1760104218928e-05
6621,0.000212532690577391
10823,2.1533031023693e-05
3742,8.31062875130011e-06
56329,3.21738673661405e-05
9193,7.03800321013282e-06
15589,6.52013755983004e-05
61157,0.00013314271272147
11606,8.04341720540183e-06
3833,1.82688176101771e-05
22435,5.44609734062274e-06
10848,1.07245562738691e-05
11579,5.36231122769008e-06
33260,8.62996963206373e-06
26914,4.423879462971e-05
51407,3.8748937926529e-05
62336,2.05274709929526e-05
15605,7.49712636288456e-06
31115,2.48005363833223e-05
19148,1.78464420546561e-05
1547,2.19519615883563e-05
9063,4.04365239603269e-05
263702,1.73574926267385e-05
21554,1.11434842533171e-05
33164,4.86288268909396e-06
399898,2.05691376429336e-05
