asn,hege
20932,3.63214605803882e-06
3356,0.212070646549316
749,0.0737359407380297
12576,0.00174526094088274
209,0.0315364982462777
5607,0.00265907307803844
8452,0.00674654228141746
3786,0.00783711806915262
5650,0.00418659809395639
3209,0.00422519210458303
4766,0.0163507226804261
10455,0.00112965450222675
7303,0.00292996893850529
37492,0.000643586283955795
11830,0.000496911604444282
12874,0.00134494646101927
30722,0.00183488553043672
3549,0.00216445713468508
5713,0.001143709885386
6128,0.00179853432101868
12430,0.00220630870708625
5378,0.000754276842724847
6848,0.000748333691456901
3303,0.00194052287267997
3741,0.00108974957670268
10474,0.000483116761108894
19108,0.000960872339327218
12479,0.0023714238204359
5432,0.00134101010080488
7792,0.000351900834694996
109,0.000373531984324688
6289,0.000107525154802714
12400,0.000728984220127186
14340,0.000292362067347068
16342,5.72985945195335e-05
1226,0.000384496134564226
36149,0.000137553538653043
21928,0.00450337553181115
40676,0.000271905853826713
3,0.000667837730018669
22284,0.000382809864858966
46606,0.000235582848707922
6614,0.000388952263010918
27747,0.00020785374534403
81,0.0011601465857479
22463,0.000193348421445476
3737,0.000270548325429746
35805,0.000171279201278849
15924,0.000670534613693814
22351,7.17733805466497e-05
45102,0.0009442515942259
31655,0.000168168565981879
3302,0.000227946736993007
19855,5.33957587196966e-05
3598,0.000174063886782657
10396,9.30941771817931e-05
6181,0.000474323308223949
8607,7.57368575033723e-05
20712,4.54776877124583e-05
25441,0.000147651356106515
47377,0.000294491347477057
37693,0.000856446453257186
55410,0.000478362970167899
18666,4.3515212442604e-05
35,4.5025196147537e-05
29,4.31799519443455e-05
55,8.60475774667527e-05
1742,0.000156788076129168
122,8.87088594489649e-05
243,0.000235355168689267
6522,2.146436522616e-05
111,5.43328730811535e-05
4190,4.29286407555237e-05
31822,0.00021606453901732
11872,4.30122944483743e-05
11975,4.29284182436988e-05
14852,1.80268476195912e-05
156,4.3263648834689e-05
11030,2.23868293694458e-05
7960,2.30575957925003e-05
7575,0.00143584911284993
18515,2.14645255377458e-05
6591,6.19620483296646e-05
6481,2.16322171435094e-05
7973,2.14645255377458e-05
11363,0.000107405671307465
12005,2.21352919608003e-05
2152,0.00587655123089051
2013,4.3180265982314e-05
21899,1.67718464666035e-05
82,0.000106232632251265
13326,2.146436522616e-05
600,0.000893375439245026
19342,2.14645255377458e-05
46887,0.00114531069219375
10754,2.22191377636821e-05
26854,6.02710275022977e-05
42808,2.19674362861481e-05
22586,2.14645255377458e-05
33194,2.14645255377458e-05
22834,2.14645255377458e-05
1999,6.46451140218828e-05
14981,1.88653056484094e-05
12079,5.40805428587735e-05
27495,2.36445164126731e-05
18663,2.14645255377458e-05
10753,0.000131064849980178
19564,2.14645255377458e-05
8147,9.03019297037195e-05
11482,2.15483713406276e-05
4637,0.00748484624977164
10497,4.39352007100734e-05
14017,4.29290510754915e-05
33667,9.07214467432691e-05
19,4.42705839216007e-05
6932,2.14645255377458e-05
19661,2.1380679734864e-05
20105,2.14645255377458e-05
36092,6.93404789832647e-05
16802,2.1380679734864e-05
19752,8.22532393351521e-05
812,0.00203150939672551
19416,2.4398946409424e-05
13636,4.29290510754915e-05
395139,7.51258393821102e-05
11773,2.15481653792375e-05
21680,2.14642091218494e-05
13684,2.20514461579185e-05
62989,2.17158553821888e-05
33608,2.14645255377458e-05
7726,0.000214393717968812
30051,2.11291423262185e-05
13759,2.14645255377458e-05
3486,2.19674362861481e-05
20191,2.14643203777619e-05
6527,7.55450683965193e-05
14398,4.66175791865167e-05
398564,2.16322171435094e-05
20214,4.65749065085299e-05
6130,6.14047325643063e-05
2575,2.14645255377458e-05
7150,2.16321710425512e-05
18844,2.14645255377458e-05
7068,1.73558760159051e-05
32835,2.14645255377458e-05
4195,2.2805888052795e-05
12229,2.22191377636821e-05
10967,5.34936222386008e-05
398573,2.16318982556139e-05
21984,2.14645255377458e-05
11540,2.15483713406276e-05
20478,4.27607291099344e-05
14365,2.7417577542355e-05
10448,2.14644797941593e-05
36291,6.47289598247646e-05
7054,2.17160629463912e-05
20617,3.54667746190096e-05
398537,2.1715900756154e-05
3495,2.14645255377458e-05
8103,0.000263797790171291
393649,2.11291423262185e-05
398471,2.16321710425512e-05
7872,2.2302983566564e-05
398663,2.23483802227143e-05
26298,2.21352919608003e-05
22252,6.37228101901828e-05
138384,0.000166433918720412
54216,2.14645255377458e-05
46196,2.14645255377458e-05
398655,2.16321710425512e-05
7328,2.11294938962945e-05
30449,6.53992377984562e-05
2048,7.13013321991719e-05
29702,2.05121452910534e-05
25215,2.65791195135368e-05
16860,2.14645255377458e-05
1798,7.18553164016371e-05
16524,3.73192809679622e-05
11052,2.20512814628128e-05
200656,2.26381976994656e-05
29899,2.14642091218494e-05
1294,2.79871545790154e-05
393529,2.146436522616e-05
32071,2.14644797941593e-05
28024,0.000143354094848017
10545,2.14645255377458e-05
3132,2.16855392763739e-05
10954,5.04441567037881e-05
2384,2.15483713406276e-05
13695,4.30128968783734e-05
15141,1.9955301085873e-05
26539,2.14645255377458e-05
8651,2.14645255377458e-05
19820,1.97037636772276e-05
22958,3.50884563181643e-05
36091,2.14645255377458e-05
22693,2.15483713406276e-05
