ROUTEVIEWS_COLLECTOR|AS_NUMBER|PEERING_ADDRESS|PREFIXES|CC|REGION|ASNAME
decix.jhb.routeviews.org|38175|103.119.232.252|515|MY|apnic |DCMSB-AS-AP DE CIX MALAYSIA SDN. BHD., MY
decix.jhb.routeviews.org|38175|103.119.233.252|515|MY|apnic |DCMSB-AS-AP DE CIX MALAYSIA SDN. BHD., MY
decix.jhb.routeviews.org|56140|103.119.234.59|2|MY|apnic |NOCSER-MY ModernOne Data Solutions Sdn. Bhd., MY
decix.jhb.routeviews.org|38194|103.119.234.252|106901|MY|apnic |DECIX-KUL-AS DE-CIX Kuala Lumpur Route Servers, MY
decix.jhb.routeviews.org|38194|103.119.234.253|106892|MY|apnic |DECIX-KUL-AS DE-CIX Kuala Lumpur Route Servers, MY
decix.jhb.routeviews.org|38137|103.162.254.252|117034|SG|apnic |DECIXASIAPTELTD-AS-SG DE-CIX ASIA PTE LTD, SG
decix.jhb.routeviews.org|38137|103.162.254.253|117025|SG|apnic |DECIXASIAPTELTD-AS-SG DE-CIX ASIA PTE LTD, SG
decix.jhb.routeviews.org|38137|2001:df6:480::94f9:a:1|47905|SG|apnic |DECIXASIAPTELTD-AS-SG DE-CIX ASIA PTE LTD, SG
decix.jhb.routeviews.org|38137|2001:df6:480::94f9:a:2|47903|SG|apnic |DECIXASIAPTELTD-AS-SG DE-CIX ASIA PTE LTD, SG
decix.jhb.routeviews.org|38175|2403:4ac0::951f:a:1|102|MY|apnic |DCMSB-AS-AP DE CIX MALAYSIA SDN. BHD., MY
decix.jhb.routeviews.org|38175|2403:4ac0::951f:a:2|102|MY|apnic |DCMSB-AS-AP DE CIX MALAYSIA SDN. BHD., MY
decix.jhb.routeviews.org|38194|2403:4ac0:1::9532:a:1|47320|MY|apnic |DECIX-KUL-AS DE-CIX Kuala Lumpur Route Servers, MY
decix.jhb.routeviews.org|38194|2403:4ac0:1::9532:a:2|47318|MY|apnic |DECIX-KUL-AS DE-CIX Kuala Lumpur Route Servers, MY
decix.jhb.routeviews.org|56140|2403:4ac0:1::db4c:0:1|0|MY|apnic |NOCSER-MY ModernOne Data Solutions Sdn. Bhd., MY
pacwave.lax.routeviews.org|101|207.231.243.1|17919|US|arin |WASH-NSF-AS, US
pacwave.lax.routeviews.org|101|2001:504:b:81::1|7447|US|arin |WASH-NSF-AS, US
route-views.amsix.routeviews.org|8821|80.249.208.12|19|CH|ripencc|TELEZUG WWZ Telekom AG TELEZUG, CH
route-views.amsix.routeviews.org|1103|80.249.208.34|921528|NL|ripencc|SURFNET-NL SURFnet, The Netherlands, NL
route-views.amsix.routeviews.org|12859|80.249.208.35|914517|NL|ripencc|NL-BIT BIT BV, NL
route-views.amsix.routeviews.org|1140|80.249.208.49|543952|NL|ripencc|SIDN, NL
route-views.amsix.routeviews.org|1103|80.249.208.50|921529|NL|ripencc|SURFNET-NL SURFnet, The Netherlands, NL
route-views.amsix.routeviews.org|6830|80.249.208.106|911755|NL|ripencc|LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL
route-views.amsix.routeviews.org|24875|80.249.208.126|367|NL|ripencc|NOVOSERVE-AS, NL
route-views.amsix.routeviews.org|6667|80.249.208.127|498|FI|ripencc|EUNET-FINLAND, FI
route-views.amsix.routeviews.org|39591|80.249.208.152|913105|NL|ripencc|GLOBAL-E, NL
route-views.amsix.routeviews.org|49544|80.249.208.162|926701|NL|ripencc|I3DNET, NL
route-views.amsix.routeviews.org|12414|80.249.208.165|24|NL|ripencc|NL-SOLCON SOLCON, NL
route-views.amsix.routeviews.org|16298|80.249.208.183|2|NL|ripencc|INTERBOX-AS InterBox Internet, NL
route-views.amsix.routeviews.org|51088|80.249.208.209|912766|NL|ripencc|A2B, NL
